"household_income","log_household_income","experienced_wellbeing.Mean","life_satisfaction.Mean","satisfaction_with_life_scale.Mean","life_satisfaction_1_to_4.Mean","experienced_wellbeing_zscore.Mean","life_satisfaction_zscore.Mean","satisfaction_with_life_scale_zscore.Mean","life_satisfaction_1_to_4_zscore.Mean","good.Mean","inspired.Mean","proud.Mean","interested.Mean","confident.Mean","bad.Mean","bored.Mean","upset.Mean","afraid.Mean","angry.Mean","sad.Mean","stressed.Mean","moneyimportance.Mean","moneyissuccess.Mean","control.life.Mean","control.situation.Mean","optimistic.Mean","billtrouble.last15days.b.Mean","workweek.num.Mean","toolittletime.b.Mean","age.Mean","male.Mean","married.Mean","education_level.Mean","experienced_wellbeing.std.error","life_satisfaction.std.error","satisfaction_with_life_scale.std.error","life_satisfaction_1_to_4.std.error","experienced_wellbeing_zscore.std.error","life_satisfaction_zscore.std.error","satisfaction_with_life_scale_zscore.std.error","life_satisfaction_1_to_4_zscore.std.error","good.std.error","inspired.std.error","proud.std.error","interested.std.error","confident.std.error","bad.std.error","bored.std.error","upset.std.error","afraid.std.error","angry.std.error","sad.std.error","stressed.std.error","moneyimportance.std.error","moneyissuccess.std.error","control.life.std.error","control.situation.std.error","optimistic.std.error","billtrouble.last15days.b.std.error","workweek.num.std.error","toolittletime.b.std.error","age.std.error","male.std.error","married.std.error","education_level.std.error","experienced_wellbeing.personcount","life_satisfaction.personcount","satisfaction_with_life_scale.personcount","life_satisfaction_1_to_4.personcount","experienced_wellbeing_zscore.personcount","life_satisfaction_zscore.personcount","satisfaction_with_life_scale_zscore.personcount","life_satisfaction_1_to_4_zscore.personcount","good.personcount","inspired.personcount","proud.personcount","interested.personcount","confident.personcount","bad.personcount","bored.personcount","upset.personcount","afraid.personcount","angry.personcount","sad.personcount","stressed.personcount","moneyimportance.personcount","moneyissuccess.personcount","control.life.personcount","control.situation.personcount","optimistic.personcount","billtrouble.last15days.b.personcount","workweek.num.personcount","toolittletime.b.personcount","age.personcount","male.personcount","married.personcount","education_level.personcount"
15000,9.616,60.863,56.825,20.399,2.73,-0.207,-0.34,-0.318,-0.257,61.262,46.019,49.306,52.325,57.869,34.129,36.568,28.724,22.738,22.367,31.945,41.498,55.997,46.827,52.352,58.436,71.659,0.446,33.137,0.282,28.79,0.3,0.056,4.449,0.339572336833776,0.905611327227566,0.177550890912961,0.0179418933023392,0.0273618467965398,0.0430097109761633,0.0273303617855027,0.0278045059819701,0.713127516626113,0.795979221401214,0.774730635592666,0.725983666079336,0.999593948768824,0.743745079134421,0.924332681939419,0.772492723104579,0.786171865290766,0.745183802451496,0.794833949040259,0.779964568627422,1.08979584673691,1.16907764284428,0.708983104662963,0.687697241124345,0.657892943044361,0.0157811731114857,0.594527315410663,0.0152609029732645,0.234167194020436,0.011956353572139,0.00596817738027433,0.0420725942182146,1494,720,1484,1487,1494,720,1484,1487,769,745,723,741,476,760,684,720,749,738,717,725,411,419,1016,1012,993,773,604,642,1487,1470,1475,1413
25000,10.127,62.032,57.199,19.852,2.719,-0.113,-0.323,-0.403,-0.274,61.917,45.126,50.082,51.752,57.056,33.753,35.189,28.085,21.777,21.294,30.612,39.63,59.197,48.565,52.95,60.078,71.198,0.413,36.109,0.294,30.692,0.316,0.087,4.639,0.283709963465988,0.704035866666125,0.148708330679066,0.014558076648698,0.0228606035090787,0.0334363962019588,0.0228906340997715,0.0225606140023098,0.552251322393974,0.685212499656853,0.619320938362635,0.642560902251664,0.826038807721318,0.593089363232997,0.76582325296891,0.626542189002072,0.666384223948035,0.59662039562702,0.647167555838941,0.67762837503667,0.831039438489314,1.00070944177199,0.59308860757797,0.581702466269022,0.553263373440076,0.0134574366728886,0.466484626729993,0.0132769869713664,0.215595638139944,0.0101422576065886,0.00617578488231688,0.0352289996250915,2132,1066,2109,2118,2132,1066,2109,2118,1175,1018,1030,1028,710,1176,946,1028,1032,1028,1012,1018,591,563,1412,1467,1442,1096,876,879,2128,2103,2093,2028
35000,10.463,62.379,60.05,20.702,2.761,-0.085,-0.187,-0.272,-0.209,60.989,44.657,50.566,53.061,58.876,33.296,35.357,27.645,21.09,20.864,29.634,40.598,59.939,48.872,54.446,61.631,72.249,0.379,38.826,0.296,31.141,0.288,0.119,4.825,0.238427840237687,0.602198791015013,0.129247588487947,0.0127130970052422,0.0192118889820137,0.0285999028203877,0.0198950471896591,0.0197014537861251,0.488249475623911,0.570902576549843,0.5621825135582,0.549264984171017,0.745092138044163,0.518644776479954,0.669019165190511,0.554943287684332,0.567492549975575,0.5195014228741,0.571816670880141,0.586961425555962,0.714708896765058,0.851122215636754,0.503618316925009,0.490910254678738,0.476333424752261,0.0118337693625283,0.429674016696872,0.0116019511212049,0.184403545726241,0.00894223258668086,0.00637125158250031,0.0312535527714202,2620,1323,2596,2593,2620,1323,2596,2593,1443,1307,1275,1303,863,1437,1187,1293,1292,1291,1277,1287,731,720,1811,1820,1802,1381,1071,1144,2614,2563,2578,2472
45000,10.714,62.658,60.862,21.095,2.795,-0.062,-0.149,-0.211,-0.156,62.18,45.061,51.933,53.931,59.89,31.968,33.939,26.243,20.309,20.233,29.019,38.951,60.687,50.454,55.891,60.911,71.142,0.338,40.247,0.311,32.401,0.293,0.15,5.122,0.235686981684111,0.587529319141108,0.129518850022391,0.0128202622362194,0.0189910378003974,0.0279032134940724,0.0199368024060746,0.0198675274694067,0.486426426644452,0.568519942491539,0.553513145840706,0.579845057306314,0.738066772625028,0.503309276928364,0.663126041923203,0.527691191098316,0.54667812166328,0.523968909753468,0.588945175519564,0.576903143976899,0.70771486867403,0.815588674010612,0.500492977908742,0.511585969253247,0.490578132644786,0.0114695823298516,0.408639105011124,0.0121266284061359,0.184774110095568,0.00892094987735525,0.0070065709301227,0.0317695171735125,2647,1358,2612,2634,2647,1358,2612,2634,1431,1301,1287,1257,830,1448,1169,1273,1274,1261,1274,1273,728,703,1769,1803,1750,1369,1073,1067,2637,2604,2605,2515
55000,10.915,62.83,62.415,21.668,2.834,-0.049,-0.075,-0.123,-0.095,62.4,45.408,52.866,53.703,59.137,31.992,33.224,26.772,20.907,20.021,28.09,39.716,61.851,51.854,56.706,62.43,72.178,0.304,39.486,0.31,33.427,0.313,0.227,5.172,0.245644448481494,0.561569854449779,0.125501598633904,0.0122151079534282,0.0197933843152285,0.0266703346199885,0.0193184279599307,0.018929721431195,0.482274496931595,0.575426087717611,0.538258800726102,0.550373824717159,0.731039629161884,0.510263568965509,0.646239367619683,0.545279868793276,0.558931135170433,0.526528354368111,0.555174058856524,0.598362020603196,0.708917871072927,0.801640546941322,0.503568711674073,0.479234965451038,0.471207817153285,0.011040714174375,0.378412422086302,0.0119190720775122,0.190806427075148,0.00899396035911143,0.00809401191064682,0.0320527675001445,2709,1408,2663,2697,2709,1408,2663,2697,1501,1313,1307,1312,873,1512,1225,1310,1286,1300,1300,1317,744,743,1832,1856,1780,1405,1122,1112,2695,2660,2679,2576
65000,11.082,63.015,63.162,22.094,2.877,-0.034,-0.039,-0.057,-0.029,63.115,46.557,53.254,53.815,59.965,31.317,32.429,26.41,20.155,19.926,27.953,39.131,63.002,52.231,57.178,62.025,72.684,0.289,40.386,0.317,34.375,0.327,0.27,5.289,0.256370616109618,0.60296062162719,0.130673787917405,0.0129362939966541,0.0206576707235127,0.0286360840313083,0.0201145816914852,0.0200473415906224,0.516198499466468,0.583505495048043,0.55899748334594,0.552356422973939,0.722211511418392,0.536196898241635,0.697084367732157,0.542939750817698,0.574697297922213,0.532843724567053,0.577633712844265,0.585687375683912,0.679228699764404,0.863646818427922,0.508268316793033,0.509247416726562,0.4791342983672,0.0115070340542588,0.436823769139457,0.0126572919816045,0.216642572099965,0.00971478253419444,0.00919430559430312,0.0340869119144113,2377,1198,2341,2368,2377,1198,2341,2368,1318,1184,1175,1212,785,1305,1035,1216,1200,1209,1175,1205,652,648,1616,1629,1628,1234,957,998,2367,2333,2330,2262
75000,11.225,63.299,63.603,22.32,2.87,-0.011,-0.018,-0.023,-0.039,62.64,46.878,54.275,54.482,59.127,31.49,32.899,26.488,20.404,19.967,27.439,39.374,62.325,53.509,56.232,61.205,72.196,0.275,40.125,0.334,34.987,0.328,0.333,5.355,0.260196932694921,0.590342015672958,0.129790951030682,0.0130494454952953,0.0209659852616706,0.0280367953754617,0.019978686842478,0.0202226921775321,0.477933613067813,0.607984865191889,0.578538675080204,0.570756767675372,0.733227005058618,0.519054054823969,0.690266304296035,0.578006438792245,0.592875445772029,0.541731355352281,0.588225393100507,0.616883217900049,0.718781834123049,0.83774875892379,0.505102455050541,0.511216713714208,0.482664178832189,0.0114919466952251,0.438430331461961,0.0126738050025941,0.213689838815795,0.00976489351133892,0.00978805823577649,0.0350495659900053,2355,1173,2332,2331,2355,1173,2332,2331,1328,1133,1107,1145,777,1316,1021,1096,1114,1125,1111,1117,646,640,1611,1610,1613,1191,1006,994,2342,2311,2320,2249
85000,11.35,63.55,64.671,22.768,2.929,0.009,0.032,0.046,0.052,63.494,45.601,53.906,55.175,61.336,30.942,32.476,27.004,20.437,20.473,27.178,39.937,63.632,51.808,57.869,62.323,72.568,0.244,40.313,0.318,35.504,0.355,0.418,5.488,0.268227205461822,0.615066626643334,0.13593597525207,0.0136321382907487,0.0216130435445423,0.0292110280069036,0.0209245887993064,0.0211256897064898,0.524423156068451,0.648773033269199,0.596325792127851,0.599691115183794,0.825336380895344,0.558837017197484,0.724237289420268,0.616126049840665,0.642620968596354,0.576038787997245,0.636829233130547,0.65054490330019,0.693990913886257,0.914839220364413,0.534644916576209,0.54051073763202,0.511426157179463,0.0114463782984268,0.450202001204053,0.0133877584475622,0.22846690104438,0.010628581209784,0.0109301773494022,0.0369789253717482,2069,1082,2045,2063,2069,1082,2045,2063,1174,1031,1005,1005,662,1172,925,1021,1017,1021,1017,1030,572,582,1399,1435,1415,1093,852,901,2057,2028,2037,1970
95000,11.462,63.737,64.239,22.858,2.92,0.025,0.012,0.06,0.038,62.59,46.604,52.964,54.43,61.382,31.164,32.659,25.769,19.788,20.476,27.179,39.352,62.754,52.874,58.212,62.05,73.311,0.243,40.345,0.319,36.716,0.387,0.458,5.437,0.256297622247597,0.581487794862137,0.131164296810558,0.013278933134095,0.0206517890698765,0.027616286635627,0.0201900855959712,0.020578328582134,0.495423646827838,0.613669857348094,0.576584626695298,0.607018736572711,0.737917731854239,0.540168770664631,0.695252342893695,0.595130234692753,0.594910422172251,0.566141268198265,0.636986706935678,0.630198963997833,0.723075317634269,0.838388876269871,0.509059774825915,0.50963435082151,0.467053860620733,0.0114083783775675,0.461784162084848,0.0129547356502946,0.234012569027773,0.0104487678692126,0.0106433821372185,0.0357710109537637,2226,1185,2197,2210,2226,1185,2197,2210,1302,1037,1032,1056,727,1294,999,1051,1064,1060,1026,1069,597,605,1526,1533,1528,1113,914,916,2212,2173,2192,2133
112500,11.631,63.916,65.654,23.135,2.948,0.039,0.079,0.103,0.081,62.941,46.71,52.859,54.782,61.241,31.287,31.909,26.597,19.457,19.93,27.232,39.67,63.525,51.821,58.841,63.012,72.699,0.203,40.055,0.338,37.095,0.38,0.492,5.631,0.192845030145198,0.455356199101047,0.104559045910155,0.0104881056017913,0.0155389458973802,0.0216259866961878,0.0160947463455556,0.0162533903212166,0.386759201305838,0.48247244350941,0.449998253860783,0.454929234825426,0.563115493956597,0.416999164068654,0.526521217652884,0.44861467897957,0.461110532143353,0.435472190916334,0.456763368822524,0.477867354632336,0.527290260701729,0.654515147240614,0.402035566017779,0.39210406796723,0.375353475370969,0.0082046312644915,0.336630566100535,0.00998793849762957,0.175534280503121,0.00804138610872038,0.00828075632868873,0.0269221926930433,3710,1948,3668,3682,3710,1948,3668,3682,2127,1825,1832,1818,1222,2136,1677,1804,1807,1817,1809,1790,1032,1022,2556,2602,2545,1900,1526,1613,3691,3646,3646,3526
137500,11.831,64.187,67.614,23.697,2.976,0.061,0.172,0.189,0.124,63.543,47.549,54.275,55.906,61.547,30.427,31.522,25.726,19.408,19.616,25.695,39.003,63.26,52.663,59.877,62.639,74.296,0.188,40.746,0.358,38.986,0.415,0.571,5.75,0.230399252163306,0.509179529518752,0.114617064867966,0.0114757220853951,0.0185649664472394,0.0241821891369489,0.0176429745495874,0.0177838970499949,0.444850525737399,0.5426148950648,0.527740346410482,0.522035192531549,0.680914280586952,0.477176332629475,0.61274307635112,0.530057957463462,0.529360639642125,0.505716288807489,0.53029866226728,0.543216738003565,0.653046698792215,0.772970568967004,0.463649010673719,0.460133862446244,0.414742681133882,0.00929965638944093,0.397451566816335,0.0118466031716633,0.202536876327436,0.00931752936947462,0.00934955060411804,0.0313600149686507,2856,1510,2815,2834,2856,1510,2815,2834,1632,1331,1321,1336,877,1628,1250,1345,1333,1339,1320,1350,753,773,1924,1921,1908,1403,1195,1194,2845,2798,2803,2719
175000,12.073,64.44,67.639,24.035,3.022,0.081,0.173,0.241,0.196,63.138,46.927,54.006,56.399,62.937,30.616,30.265,25.029,19.942,19.416,26.043,39.373,64.746,52.223,59.267,62.988,73.499,0.143,41.631,0.337,39.933,0.42,0.614,5.835,0.216498034125874,0.471014475067794,0.109118054783644,0.0112836336386574,0.0174448428182887,0.0223696367626865,0.0167965133784052,0.0174862180773032,0.410839470194999,0.509133434086394,0.485488759645233,0.499115353164915,0.630798543120971,0.441027038168385,0.563566139442404,0.488253090064399,0.501225153416306,0.475977049970475,0.503408069335421,0.536698152901582,0.596888462023525,0.727455158405862,0.436015417424098,0.433690144569382,0.39519116784528,0.00776675372249063,0.369455596130337,0.0108394617607162,0.189746810215126,0.0088434077889443,0.00873122122957609,0.0295029177106594,3168,1706,3132,3147,3168,1706,3132,3147,1851,1536,1524,1506,1000,1856,1424,1503,1515,1496,1533,1515,854,844,2178,2135,2186,1591,1347,1366,3148,3115,3111,2999
250000,12.429,65.537,69.151,24.821,3.057,0.17,0.245,0.362,0.25,65.387,48.205,55.286,58.029,63.657,28.651,31.319,24.071,18.343,19.297,25.089,37.49,65.283,54.342,62.121,64.301,74.176,0.119,42.556,0.363,40.824,0.488,0.678,6.099,0.290926571685955,0.633669689659762,0.139087630123783,0.0141324271353851,0.0234420988403725,0.0300945332586073,0.0214097222020398,0.0219009860444517,0.541158773029365,0.698858102164134,0.671348117851166,0.640768568150591,0.838180525394852,0.595173705474741,0.721924099318817,0.648176662352916,0.641230007909417,0.614067046016396,0.679755095851531,0.688726211791041,0.77072024275229,0.910038271646482,0.573034732529878,0.570615455760476,0.527719784888185,0.00962855491267978,0.506664275672616,0.014657926684862,0.256379778187034,0.0120003282388852,0.0111656362953486,0.0390270295753169,1776,958,1746,1760,1776,958,1746,1760,1039,864,839,847,562,1037,796,843,844,834,838,844,485,490,1204,1228,1206,891,728,755,1767,1736,1753,1695
4e+05,12.899,65.81,71.271,25.164,3.093,0.192,0.346,0.415,0.307,65.143,48.964,56.563,58.131,65.411,28.906,31.363,24.915,19.597,21.153,24.067,42.26,66.588,56.771,62.3,64.542,75.421,0.09,44.265,0.404,41.591,0.509,0.697,6.162,0.424695591121095,0.914262889984863,0.204868202477659,0.0222919373259931,0.0342208549959405,0.0434205949862194,0.0315353083460721,0.0345457580359965,0.834130732495456,1.03398845118194,1.01081397394245,0.97473334069153,1.26882146536031,0.869307261609217,1.19143769978087,0.96895151478658,1.00989975667317,0.985369209094172,0.997153265632852,1.09758200679555,1.18644422888272,1.45587661019346,0.911176384576282,0.868834374237646,0.799197867799538,0.0122101035473722,0.796010451179703,0.022177060546538,0.38252427613071,0.0175005507248197,0.0160250288933944,0.0602816470223389,832,428,815,825,832,428,815,825,469,373,368,377,235,468,344,379,378,387,372,381,218,202,560,559,564,399,350,347,821,817,824,794
625000,13.346,65.341,71.952,26.106,3.173,0.154,0.378,0.56,0.431,65.817,46.467,56.148,57.714,66.186,26.774,29.736,24.188,23.36,19.492,23.122,39.526,65.696,54.681,62.424,66.941,75.458,0.066,42.228,0.348,41.671,0.567,0.636,5.903,0.639239729028958,1.41949689673971,0.289243640893698,0.0315950117715303,0.0515082579901492,0.067415401535712,0.0445231973161771,0.0489627086171221,1.1690153019862,1.56169073567389,1.3970826255086,1.5316494039687,2.05081203617042,1.20124908074776,1.62077364198629,1.49421972060612,1.64787732184533,1.45902511608869,1.30995447751227,1.65354237330196,1.85441450283776,1.95721235183743,1.32270302135423,1.26579790024022,1.19194736624224,0.01641635896047,1.49127034994908,0.0335867540157951,0.595943822929371,0.0245288527485962,0.0236451552470433,0.0913268368500859,420,190,407,415,420,190,407,415,233,167,181,176,115,233,174,183,168,175,179,173,95,108,261,260,270,190,144,155,414,409,415,403
